epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,732.724,1.34412,1.4429,1.37627,0.29186,0.27327,0.21359,0.08223,2.30191,2.8201,2.23629,0.000243067,0.000243067,0.000243067
76,743.362,1.35838,1.42855,1.41332,0.36942,0.26063,0.21436,0.08831,2.25316,2.76807,2.19341,0.000234068,0.000234068,0.000234068
77,754.941,1.36068,1.4716,1.3739,0.3476,0.27463,0.19437,0.07148,2.33309,2.79646,2.23458,0.000225068,0.000225068,0.000225068
78,765.881,1.34451,1.41104,1.3545,0.25446,0.30936,0.18437,0.07084,2.33112,2.85354,2.24282,0.000216069,0.000216069,0.000216069
79,777.963,1.3022,1.36549,1.3418,0.301,0.29697,0.20136,0.08044,2.2713,2.90456,2.22966,0.00020707,0.00020707,0.00020707
80,788.736,1.32005,1.40195,1.37321,0.32179,0.24658,0.20507,0.08162,2.32068,2.84987,2.22103,0.000198071,0.000198071,0.000198071
81,799.668,1.30194,1.36709,1.35886,0.32049,0.27611,0.22639,0.09161,2.31869,2.84422,2.23583,0.000189072,0.000189072,0.000189072
82,811.096,1.30436,1.39558,1.3788,0.27737,0.28986,0.21471,0.08915,2.33626,2.8187,2.24435,0.000180073,0.000180073,0.000180073
83,822.886,1.24459,1.29385,1.33221,0.28752,0.28818,0.21632,0.09184,2.29282,2.83797,2.22836,0.000171074,0.000171074,0.000171074
84,834.339,1.27648,1.35027,1.33307,0.28672,0.29036,0.21596,0.08442,2.30095,2.87092,2.24326,0.000162075,0.000162075,0.000162075
85,845.482,1.31284,1.36753,1.36461,0.31876,0.31384,0.22724,0.09449,2.31351,2.8401,2.24535,0.000153076,0.000153076,0.000153076
86,857.263,1.2663,1.30921,1.34158,0.34272,0.28424,0.21467,0.08397,2.3338,2.76497,2.26792,0.000144077,0.000144077,0.000144077
87,869.703,1.24095,1.24774,1.29748,0.32391,0.27313,0.20908,0.08623,2.339,2.7734,2.27477,0.000135077,0.000135077,0.000135077
88,880.269,1.25033,1.30536,1.33243,0.31439,0.26908,0.2183,0.09242,2.33476,2.83522,2.24862,0.000126078,0.000126078,0.000126078
89,892.389,1.25208,1.33486,1.31721,0.36354,0.22538,0.21128,0.08812,2.3592,2.90243,2.29028,0.000117079,0.000117079,0.000117079
90,904.46,1.26472,1.31335,1.34421,0.32104,0.24835,0.21591,0.08723,2.37087,2.89415,2.27703,0.00010808,0.00010808,0.00010808
91,917.555,1.26537,1.28488,1.36583,0.35863,0.27853,0.2048,0.08108,2.36822,2.97781,2.22996,9.9081e-05,9.9081e-05,9.9081e-05
92,928.113,1.20621,1.22385,1.35053,0.42042,0.24114,0.2124,0.08738,2.34209,2.97384,2.25923,9.00819e-05,9.00819e-05,9.00819e-05
93,939.87,1.20315,1.17693,1.34426,0.36016,0.25048,0.21559,0.08628,2.33638,2.91013,2.27829,8.10828e-05,8.10828e-05,8.10828e-05
94,951.598,1.15416,1.13753,1.29958,0.29397,0.30259,0.22734,0.08623,2.34617,2.86281,2.29734,7.20837e-05,7.20837e-05,7.20837e-05
95,961.942,1.15585,1.14649,1.32042,0.32671,0.29521,0.23432,0.09281,2.35936,2.82927,2.29993,6.30846e-05,6.30846e-05,6.30846e-05
96,973.154,1.15905,1.14826,1.3236,0.32222,0.30408,0.23199,0.08989,2.35582,2.80652,2.29014,5.40855e-05,5.40855e-05,5.40855e-05
97,984.349,1.15238,1.15138,1.29862,0.32475,0.29819,0.23064,0.09299,2.35559,2.80178,2.29752,4.50864e-05,4.50864e-05,4.50864e-05
98,995.528,1.16176,1.1202,1.28788,0.30499,0.2831,0.22416,0.09176,2.34522,2.79821,2.29218,3.60873e-05,3.60873e-05,3.60873e-05
99,1005.62,1.12619,1.09289,1.31368,0.3075,0.27999,0.22407,0.09278,2.34005,2.81752,2.28314,2.70882e-05,2.70882e-05,2.70882e-05
100,1016.68,1.14128,1.09752,1.28835,0.34332,0.25323,0.22774,0.09226,2.34273,2.82653,2.28725,1.80891e-05,1.80891e-05,1.80891e-05
